collectivite_id,nom,siren,departement_code,region_code,etoiles_cae,etoiles_eci,nom_epci,departement,nature_juridique,regime_fiscal,population_dgf,population_insee,revenu,potentiel_fiscal,potentiel_fiscal_hab,cif
4590,CC Causses et Vallée de la Dordogne,200066371,46,76,1,0,CC CAUSSES ET VALLÉE DE LA DORDOGNE,46,CC,FPU,53376.0,46700.0,749077725.0,20727865.0,388.336799,0.493146
4341,CC de Montesquieu,243301264,33,75,1,0,CC DE MONTESQUIEU,33,CC,FPU,48627.0,48419.0,949418342.0,16034989.0,329.754848,0.371374
3991,CC Intercom de la Vire au Noireau,200068799,14,28,1,0,CC INTERCOM DE LA VIRE AU NOIREAU,14,CC,FPU,49331.0,47690.0,684002499.0,14548941.0,294.924915,0.196229
4973,CC Sundgau,200066041,68,44,1,1,CC DU SUNDGAU,68,CC,FPU,49304.0,48713.0,1126298249.0,14671858.0,297.579466,0.400396
4599,CA du Grand Villeneuvois,200023307,47,75,1,0,CA DU GRAND VILLENEUVOIS,47,CA,FPU,50026.0,49185.0,737630283.0,21222273.0,424.224863,0.421285
4167,CC Porte de Dromardèche,200040491,26,84,1,1,CC PORTE DE DRÔMARDÈCHE ,26,CC,FPU,50477.0,49577.0,712446482.0,23516196.0,465.87943,0.394892
3894,CA Annonay Rhône Agglo,200072015,7,84,1,0,CA ANNONAY RHONE AGGLO,07,CA,FPU,52801.0,51689.0,827979279.0,23124313.0,437.952179,0.419942
5278,CA des Sorgues du Comtat,248400293,84,93,1,1,CA LES SORGUES DU COMTAT,84,CA,FPU,52461.0,51863.0,868678093.0,30716204.0,585.505499,0.388278
4365,CC du Grand Pic Saint-Loup,200022986,34,76,1,0,CC DU GRAND PIC SAINT-LOUP,34,CC,FPU,53494.0,52384.0,1223049310.0,14444064.0,270.012786,0.374818
4899,CC de Lacq-Orthez,200039204,64,75,1,1,CC LACQ-ORTHEZ,64,CC,FPU,55481.0,54690.0,850170314.0,52034151.0,937.873344,0.509123
4424,CC Touraine Vallée de l'Indre,200072650,37,24,1,0,CC TOURAINE VALLÉE DE L’INDRE,37,CC,FPU,56735.0,55689.0,972237194.0,14987151.0,264.160589,0.430517
5294,CC Sud Vendée Littoral,200073260,85,52,1,0,CC SUD VENDEE LITTORAL,85,CC,FPU,69529.0,57007.0,907679366.0,23691254.0,340.739174,0.392564
4442,CC Bièvre Isère,200059392,38,84,1,0,CC BIÈVRE ISÈRE,38,CC,FPU,58533.0,57452.0,920267502.0,17820083.0,304.445065,0.450256
5258,CC du Golfe de Saint-Tropez,200036077,83,93,1,0,CC DU GOLFE DE SAINT TROPEZ,83,CC,FPU,100584.0,58798.0,1733774169.0,58078961.0,577.417492,0.33657
4600,CA Val de Garonne Agglomération ,200030674,47,75,1,1,CA VAL DE GARONNE AGGLOMÉRATION,47,CA,FPU,63324.0,62194.0,892237985.0,30667575.0,484.296238,0.433608
4813,CC Thelloise,200067973,60,32,1,0,CC THELLOISE,60,CC,FPU,63438.0,62826.0,1063530725.0,19755328.0,311.411583,0.303567
4025,CA de Saintes,200036473,17,75,1,0,SAINTES - GRANDES RIVES - L'AGGLO,17,CA,FPU,64333.0,63044.0,1044145699.0,24731516.0,384.429702,0.428499
4242,CA de Bastia,242000354,2B,94,1,0,CA DE BASTIA,2B,CA,FPU,63926.0,62806.0,910443380.0,26937838.0,421.390952,0.475378
